,text,intent
2221,Remind me to buy couch covers on Tuesday next week.,Create Reminder.
2222,What are my reminders for this week,Get Reminder.
2223,"What are my reminders for Wednesday, August 8th?",Get Reminder.
2224,remind all the parents about the family weekend in September,Create Reminder.
2225,Please delete all weekly reminders about taking Carla to practice.,Delete Reminder.
2226,Please delete the reminder for the party on Thursday night,Delete Reminder.
2227,remind me to email the shopping list to my mom,Create Reminder.
2228,Remind me to complete a month-end review on the first of each month,Create Reminder.
2229,Can you remind me to turn in my final paper Sunday at 11 pm for my psychology class?,Create Reminder.
2230,Remind me to buy a birthday gift for Alex.,Create Reminder.
2231,remind me to cancel netflix subscription on 23rd august 10am.,Create Reminder.
2232,Set a reminder to feed the snakes at 6pm today.,Create Reminder.
2233,Remind me the day before that Austin and Amanda's wedding is at 2pm on August 19.,Create Reminder.
2234,Set reminder to load car on Thursday night.,Create Reminder.
2235,Delete the reminder to set an alarm for 8:00 AM.,Delete Reminder.
2236,Delete all reminders for the month of November 2018.,Delete Reminder.
2237,Set a reminder to get the salt out of the van in 2 hours,Create Reminder.
2238,Set up a reminder for Tisha's Dance recital on June 30th,Create Reminder.
2239,Remind me to order the school curriculum for this year by Monday evening.,Create Reminder.
2240,Remind me to wash the dog this week,Create Reminder.
2241,Remind me of my therapy appointment 30 minutes before.,Create Reminder.
2242,set up a reminder 30 minutes before my 2pm meeting so I can prepare,Create Reminder.
2243,Reminder needed for school movie night on November 5th at 6:40pm,Create Reminder.
2244,Delete reminder for Yankees/Blue Jays game.,Delete Reminder.
2245,Remind me to buy tickets for Smackdown the day before they go on sale,Create Reminder.
2246,set a reminder for every 3 days to clean litter box,Create Reminder.
2247,Set a reminder an hour before my 6pm training,Create Reminder.
2248,Remind me that Shayla's birthday is September 16th.,Create Reminder.
2249,Change the reminder for my doctor appointment from 10am to 11:30am,Update Reminder Date Time.
2250,Remind me to ask the maintenance department to repair the faulty light fixture in the corner office by 4:30pm today.,Create Reminder.
2251,Reminder to upload swimming pictures later tonight.,Create Reminder.
2252,Set up a monthly reminder to give the pets flea medicine.,Create Reminder.
2253,Delete my dentist reminder.,Delete Reminder.
2254,List reminders for today after 5pm.,Get Reminder.
2255,Remind me to make an appointment for a hair cut tomorrow,Create Reminder.
2256,Delete all alerts for today.,Delete Reminder.
2257,Remind me to take in the trash cans tonight,Create Reminder.
2258,Remind me to check my email in an hour.,Create Reminder.
2259,Remind Alyssa that she has Pep Squad practice after school on August 28th; send a notification 10 minutes before.,Create Reminder.
2260,can you delete the alert for my dentist appointment tomorrow,Delete Reminder.
2261,Remind Mike to take his Allegra every night at 9pm.,Create Reminder.
2262,Set up a reminder for 5 PM when Chris is coming home from work.,Create Reminder.
2263,"I need to pay the water bill in the morning, can you remind me at 11PM?",Create Reminder.
2264,remind my son to buy a birthday card for his grandmother,Create Reminder.
2265,Remind me of bowling every Thursday at 7 PM,Create Reminder.
2266,Remind me to print directions to my new chiropractor's office.,Create Reminder.
2267,Remind me to scoop the litter box one hour before I leave tomorrow at 9 am.,Create Reminder.
2268,delete my reminder for test driving the ferrari.,Delete Reminder.
2269,Remind me about my anniversary on August 9.,Create Reminder.
2270,Remind me to pick Jeremy up at work on Wednesday at 5,Create Reminder.
2271,Remind  me to meet Jim before the game.,Create Reminder.
2272,Reminder to cancel Netflix subscription on Saturday,Create Reminder.
2273,remind me about my moms anniversary party on Saturday,Create Reminder.
2274,"Remind me to text Tony back today in about 15 minutes, please.",Create Reminder.
2275,Create a reminder for my Mom to go to her doctors appointment on Wednesday at 9:00 am.,Create Reminder.
2276,Set up a weekly reminder to email the team about the manager on duty every Monday morning.,Create Reminder.
2277,What alerts do I have for Saturday? I may have changes that day.,Get Reminder.
2278,Set up a daily reminder to submit locational data at 8pm.,Create Reminder.
2279,Can you make sure I remember that to pay the water bill on the 4th of each month?,Create Reminder.
2280,How many reminders do I have for this Thursday?,Get Reminder.
2281,What reminders have i set up for friday?,Get Reminder.
2282,Remind me to ship my packages on Tuesday.,Create Reminder.
2283,Cancel my lunch reminder,Delete Reminder.
2284,What reminders do I have set for next  on Tuesday for baby shower,Get Reminder.
2285,Remove the reminder to have the car tuned up Friday.,Delete Reminder.
2286,Delete the reminder about the doctors appointment for the 5th,Delete Reminder.
2287,Remind the team about the group meeting at 3 pm today,Create Reminder.
2288,"Can you add an alert for 3pm, when Carrie will pick up her laundry?",Create Reminder.
2289,Remind me to check my emails tonight at 9PM,Create Reminder.
2290,Set up a reminder to make hotel reservations for Jillians wedding on Nov 1,Create Reminder.
2291,Erase all my reminders that I had for this week.,Delete Reminder.
2292,any reminders for tomorrow,Get Reminder.
2293,Update the grocery list reminder with eggs added.,Update Reminder Todo.
2294,Remove all alerts about my volunteer meeting tomorrow.,Delete Reminder.
2295,Remind the group about our hike trip Sunday.,Create Reminder.
2296,Delete my reminder to meet with Christina next Thursday.,Delete Reminder.
2297,Set reminder of location for my cousins wedding ceremony.,Create Reminder.
2298,Remind me to RSVP to the artist meetup Saturday,Create Reminder.
2299,SET A RUNNING REMINDER TO CHANGE THE CAR'S OIL EVERY THREE MONTHS.,Create Reminder.
2300,Set a reminder for 2 hours and 50 minutes from now.,Create Reminder.
2301,Remind me to leave chicken out to defrost.,Create Reminder.
2302,erase reminder to attend conference this monday,Delete Reminder.
2303,remined me to feed the cat on wenday,Create Reminder.
2304,What reminders do I have for the first week of September?,Get Reminder.
2305,Remind me to dress up for work on Monday.,Create Reminder.
2306,Remind me to get some chicken,Create Reminder.
2307,remind me to take out the trash every monday night,Create Reminder.
2308,Remind Andi to be at the concert at 8 pm; alert her 45 minutes before,Create Reminder.
2309,remind me of a lunch on sunday at 2 pm,Create Reminder.
2310,Set up a monthly reminder to pay my health insurance bill,Create Reminder.
2311,Delete the reminder to buy medical insurance for mom on 21st september 2018,Delete Reminder.
2312,Cancel reminder to send flowers to Patricia for her welcome back party.,Delete Reminder.
2313,Please remove my current reminder for the team meeting this Friday,Delete Reminder.
2314,Set reminder to get groceries 15 minutes before movie date with Bob.,Create Reminder.
2315,remind me to get an oil change on Friday,Create Reminder.
2316,Set up a reminder for today at 2 PM,Create Reminder.
2317,Help me to remember to remind Delores that Thompson will be going to Chapel Hill tomorrow.,Create Reminder.
2318,Remind me about my class reunion meeting for Aug. 5th.,Create Reminder.
2319,Can you make me a weekly reminder that the trash goes out on Wednesday?,Create Reminder.
2320,Reminder to send out details a day before the meeting,Create Reminder.
2321,Set a reminder to check the chicken cooking in the oven for 20 minutes from now.,Create Reminder.
2322,send madelyn a reminder about the change in time for dance from 3pm to 5 pm on thursday,Create Reminder.
2323,Remind me to complete my project tomorrow.,Create Reminder.
2324,Please remind me to pick up Susie in the morning.,Create Reminder.
2325,What time is my work alert on Monday?,Get Reminder.
2326,set a reminder every Saturday for the month of November to recycle copper,Create Reminder.
2327,Remove the alert about my anniversary,Delete Reminder.
2328,remind family group about party next sunday at 5pm,Create Reminder.
2329,Remind Bill that I love him today at 4pm,Create Reminder.
2330,Please tell me all my reminders for next week.,Get Reminder.
2331,Remind me to make dinner reservations Saturday.,Create Reminder.
2332,Delete the reminder about tax free weekend,Delete Reminder.
2333,Remind Katherine about the potluck Wednesday at noon.,Create Reminder.
2334,Set up a reminder for Lisa about our meeting on Wednesday.,Create Reminder.
2335,remind me to feed the dog tomorrow for the neighbor.,Create Reminder.
2336,Remind me to buy movie tickets when they go on sale on Tuesday,Create Reminder.
2337,Remind me of Newcomers Board meeting on August 2 at 10 AM.,Create Reminder.
2338,Delete the reminder about the Chick Flick movie next month.,Delete Reminder.
2339,Remind me to order Leisa's flowers before Friday..,Create Reminder.
2340,Set up a weekly reminder to log on to watch the live broadcast Mondays at 10a EST,Create Reminder.
2341,remove the reminder about starting dinner at 4pm,Delete Reminder.
2342,Can you remind me to sent the package today before 3 pm?,Create Reminder.
2343,Remind me to turn off the alarm before leaving.,Create Reminder.
2344,Set up a weekly reminder to tell the bus driver about a change in drop off,Create Reminder.
2345,Remind me to email my cousin Sabrina Tuesday morning.,Create Reminder.
2346,Delete any reminders mentioning Amy,Delete Reminder.
2347,create a reminder on august 30 that ozarks new season starts august 31,Create Reminder.
2348,remind me that i have to make a salad for bbq on sunday,Create Reminder.
2349,I need to see my accountant on Monday of next week. Remind me at 8 AM on Monday.,Create Reminder.
2350,what alerts do I have set up for Wednesday,Get Reminder.
2351,Remind me of Quilling Workshop at 1PM on August 24.,Create Reminder.
2352,Set a yearly reminder that I am due for my eye appointment by February 2nd.,Create Reminder.
2353,Remind me to contact my surgeon with updates on what has been accomplished on Monday at 11am.,Create Reminder.
2354,Update reminder for today's staff meeting from 1 pm to 2 pm.,Update Reminder Date Time.
2355,Run down my reminders for the day,Get Reminder.
2356,Do I have an reminders for this week?,Get Reminder.
2357,Remind me to do a Walmart grocery order at 10 p.m. tonight.,Create Reminder.
2358,Remind me to look up that directive for Marshall today.,Create Reminder.
2359,Set a reminder to schedule dinner delivery for 7pm tonight.,Create Reminder.
2360,Set a reminder on the first Monday of every month to pay electric bill.,Create Reminder.
2361,Remind me to buy dog food monday afternoon.,Create Reminder.
2362,Remind me to pack the camera for the trip on Friday.,Create Reminder.
2363,remind me to set the sprinklers to turn on at 7am on Monday.,Create Reminder.
2364,I have a dentist appointment on Friday at 3PM; can you remind me by 12PM?,Create Reminder.
2365,Remind me to change the air conditioning filter every 45 days,Create Reminder.
2366,Remind me that John's wedding is August 10th.,Create Reminder.
2367,Remind me to pick up birthday card for Grandma.,Create Reminder.
2368,Set a reminder to pick up mom,Create Reminder.
2369,Remind me to set an alarm for work on Sunday.,Create Reminder.
2370,Remind me to take first day of school pictures on August 10th 7:30am,Create Reminder.
2371,set up monthly reminder on the 2nd to pay bill,Create Reminder.
2372,set a daily reminder for Liz to feed the fish at 2pm,Create Reminder.
2373,Set up a weekly reminder for practice and games on Tuesdays and Thursdays.,Create Reminder.
2374,Remind me every six months to change my water filter.,Create Reminder.
2375,Create a reminder for Helena's going away part next Friday.,Create Reminder.
2376,Delete the reminder about the book club,Delete Reminder.
2377,Remind me to change cat litter every Sunday at 10 AM.,Create Reminder.
2378,Remind me to email the trip information to Monica tonight at 6,Create Reminder.
2379,Set a reminder to give the horse the steroid shot at 4:30 pm.,Create Reminder.
2380,Set up reminder for Chris to make doctor appointment next week.,Create Reminder.
2381,Remind me to feed the dog every night at 6pm.,Create Reminder.
2382,Remind me to talk to George about his behavior tonight at 9 pm.,Create Reminder.
2383,Set weekly reminder Mon Wed Friday for new patch,Create Reminder.
2384,Set a reminder an hour before my 3 o clock appointment.,Create Reminder.
2385,I don't want to miss my appointment at 2 pm; can you alert me 20 minutes before?,Create Reminder.
2386,Remind me to notify Shawn to meet his client Tuesday at 4 pm,Create Reminder.
2387,Remind me to email Lara about her business attire tomorrow at 5 pm.,Create Reminder.
2388,What reminders do I have going on August 12th?,Get Reminder.
2389,Create a reminder to pick up the dog from Tails in 4 hours.,Create Reminder.
2390,Remind me to record daily meals at 8pm each weekday.,Create Reminder.
2391,Remind me to pick mom up on Sunday,Create Reminder.
2392,Remind me to return the library book before noon on Saturday.,Create Reminder.
2393,every morning at ten am remind me to tell my husband that he is handsome,Create Reminder.
2394,What reminders did I have  next week?,Get Reminder.
2395,Alert me 10 minutes before my 8:30 am Phone Appointment with Dr. Augustine on September 10th.,Create Reminder.
2396,Create a reminder to take out the trash and recycling every Thursday night at 7 pm.,Create Reminder.
2397,Remind me to to pay Tom for mom's birthday present,Create Reminder.
2398,set reminder for Mike's dental appointment this Tuesday,Create Reminder.
2399,What reminders do I have for Saturday?,Get Reminder.
2400,Set a reminder for my mother to bring Leah to softball practice.,Create Reminder.
2401,Do I have any reminders on Monday?,Get Reminder.
2402,remind me to order thieves laundry soap,Create Reminder.
2403,Delete the reminder for dinner on Saturday with Rob,Delete Reminder.
2404,Set a reminder for my husband's basketball games tomorrow night,Create Reminder.
2405,Remind me to fill the cats food bowl daily,Create Reminder.
2406,"Set a reminder for breakfast at 8am, with an alert 15 minutes before.",Create Reminder.
2407,Set up a weekly chore reminder for Colin starting Sunday.,Create Reminder.
2408,Set weekly reminder to take vitamin D pill every Monday.,Create Reminder.
2409,Remind me to check my email daily at 7 pm.,Create Reminder.
2410,Set up a reminder that it's our wedding anniversary on January 5.,Create Reminder.
2411,Please remind me that Group is moved to Tuesday next week.,Create Reminder.
2412,Remind me to wake up my girlfriend.,Create Reminder.
2413,Remind me five minutes before I have to leave for the concert this weekend.,Create Reminder.
2414,Remind me to watch the baseball game tomorrow.,Create Reminder.
2415,Remind me to pick up AJ from band practice on Wednesday.,Create Reminder.
2416,Remind me to take the trash out Wednesday morning at 8 am.,Create Reminder.
2417,"I need to finish my homework by tomorrow, please remind me.",Create Reminder.
2418,Remind Patty to meet me tomorrow morning at 9 am.,Create Reminder.
2419,Delete reminder to fix my car tonight.,Delete Reminder.
2420,what reminders do i have on friday,Get Reminder.
2421,"Alexa, please remind me about Falcon ground truth work time entries which I need to enter by tomorrow morning 10 am PST.",Create Reminder.
2422,Remind me to water the garden tonight at sunset.,Create Reminder.
2423,send me a reminder for Monday to make the dinner reservations for Friday night,Create Reminder.
2424,Remind me this weekend to buy my niece a birthday gift.,Create Reminder.
2425,remind all senior citizens about flue shot next week,Create Reminder.
2426,Create a weekly reminder to send a work status update on Friday afternoons.,Create Reminder.
2427,Remind me every day at 9 AM to take my vitamin.,Create Reminder.
2428,"I do not want to late to wedding, set up reminder to get up 2 hours early",Create Reminder.
2429,Remind me to start the dishwasher every evening at 7pm,Create Reminder.
2430,Remind me to make a list on payday of school supplies.,Create Reminder.
2431,Remind me to send an article in for the RMTA newsletter.,Create Reminder.
2432,delete the reminder to clean my closet,Delete Reminder.
2433,Remind me to buy a dress for my anniversary party.,Create Reminder.
2434,Can you remind me to put flea medicine on the cats in a month?,Create Reminder.
2435,Remind me about book club Tuesday at noon,Create Reminder.
2436,set a reminder that football practice starts back up on monday at 3pm,Create Reminder.
2437,Please change the reminder about eggs to 3 dozen.,Update Reminder Todo.
2438,Remove my Pinterest reminder.,Delete Reminder.
2439,remind me to clean out my closet,Create Reminder.
2440,Can you remind me to cancel my appointment with my doctor.,Create Reminder.
2441,Remind the team to bring their full gear to practice on Saturday.,Create Reminder.
2442,Do I have any reminders for any events for the first week in October?,Get Reminder.
2443,Delete my meeting reminder for Friday,Delete Reminder.
2444,Schedule a weekly reminder for Fridays to give Michelle positive affirmation.,Create Reminder.
2445,Remove the alert on my calendar about tomorrow's luncheon.,Delete Reminder.
2446,Remind me to walk the dog every morning,Create Reminder.
2447,Can you remind me of my work schedule every night at 8 pm?,Create Reminder.
2448,Remind me to take my medicine when I wake up tomorrow.,Create Reminder.
2449,Remove the reminder to go to Tim's party on Saturday.,Delete Reminder.
2450,setup a reminder to check the furnace filter on the first day of every month,Create Reminder.
2451,Remind me of meeting call Friday.,Create Reminder.
2452,Create reminder for baseball practice every Saturday at 10am.,Create Reminder.
2453,Remind me to delete contacts on my cell phone on Friday.,Create Reminder.
2454,"I'm baking cookies in the oven, can you remind me to take them out in 25 minutes?",Create Reminder.
2455,Remind my son to finish all his chores before I get home from work today.,Create Reminder.
2456,delete my doctor's appoinment reminder,Delete Reminder.
2457,Remind me to research the Broadway ticket show prices for Cats later on today.,Create Reminder.
2458,Cancel all reminders for Thursday,Delete Reminder.
2459,Delete my movie reminder for Saturday.,Delete Reminder.
2460,Remind me to go to the dodgers game this weekend.,Create Reminder.
2461,Set a reminder to buy nail clippers and trim the dog's nails on Wednesday.,Create Reminder.
2462,remind my wife that my daughter has a doctor appointment tomorrow at 2pm.,Create Reminder.
2463,remind me to email the team about practice on Thursday at 6:00,Create Reminder.
2464,remind me I have to take Jack to the vet July 12th at 2:30,Create Reminder.
2465,Set up a monthly reminder on the 5th to pay utility bill,Create Reminder.
2466,remind me to mail the electric bill on the 1st of every month,Create Reminder.
2467,Delete my reminders for the rest of the day,Delete Reminder.
2468,What do I need to remember today?,Get Reminder.
2469,Set a reminder for Brianna to bring potato salad on Saturday.,Create Reminder.
2470,What reminders do I have for Wednesday,Get Reminder.
2471,Delete all reminders for today.,Delete Reminder.
2472,Delete the reminder about beef jerky,Delete Reminder.
2473,Remove the reminder to pick up eggs and milk after work.,Delete Reminder.
2474,remind me to set the timer,Create Reminder.
2475,Set a reminder to bake cookies for the birthday party Saturday.,Create Reminder.
2476,which reminder do i have set for this week,Get Reminder.
2477,Can you remind me to send my draft to Betsy at noon?,Create Reminder.
2478,remind me this Friday at 3 PM to review my appointments for next week,Create Reminder.
2479,Set a reminder to check my laundry in 10 minutes.,Create Reminder.
2480,delete the reminder about the meeting at noon,Delete Reminder.
2481,Remove any reminders about work meetings this week.,Delete Reminder.
2482,"Remind my daughter to take water bottle, shorts, and blue pom poms to cheer practice this afternoon.",Create Reminder.
2483,Remind me to get some groceries tomorrow,Create Reminder.
2484,Change the reminder for the farrier on Saturday to Sunday,Update Reminder Date Time.
2485,Set up a reminder to attend my cousins wedding Friday afternoon.,Create Reminder.
2486,Remind me to cancel my dental appointment.,Create Reminder.
2487,Set a reminder for a church meeting on Sunday at 4:00pm,Create Reminder.
2488,Set a reminder to collect all family photos for Reunion book April 30th.,Create Reminder.
2489,Remind me to create speadsheet for Tom on Wednesday.,Create Reminder.
2490,Remove my 5 pm alert for the concert. I has been cancelled.,Delete Reminder.
2491,Setup daily reminder for Maddie  to feed the dogs starting tomorrow.,Create Reminder.
2492,Set up a weekly reminder for Thursday bible study.,Create Reminder.
2493,Remind Cousin's group that the pictures for the slide show need to be uploaded by this Friday at 5pm.,Create Reminder.
2494,What reminders do I have tomorrow?,Get Reminder.
2495,Remind me to bring soda for Tim's party on Saturday at 3pm,Create Reminder.
2496,What are the reminders on my schedule for the next seven days?,Get Reminder.
2497,What reminders do I have this friday?,Get Reminder.
2498,Set a reminder to call references for the new job candidate before the interview.,Create Reminder.
2499,Change my hair appointment reminder to 2:30 tomorrow.,Update Reminder Date Time.
2500,Remind me to complete the survey today at 5,Create Reminder.
2501,Remind me to send a birthday message to Alex tomorrow at noon.,Create Reminder.
2502,set up a reminder to take out the trash today,Create Reminder.
2503,update my daily medication reminder to noon from 2pm.,Update Reminder Date Time.
2504,Set up a reminder that I need to finish that homework before 5pm tonight,Create Reminder.
2505,Remind me on June 17 that I need to reserve to hall for our reunion,Create Reminder.
2506,Set up a reminder to take my vitamin every morning at 5:30 AM CST.,Create Reminder.
2507,Remind Jeff to take the dogs out every day at 12 noon.,Create Reminder.
2508,Remove the reminder to get cereal.,Delete Reminder.
2509,Delete my reminder for the party on Friday,Delete Reminder.
2510,remind me to Learn how to cook a new dish for dinner ever day at 7pm,Create Reminder.
2511,Can you alert me 10 minutes before my lunch with mom?,Create Reminder.
2512,Set reminder to have Meredith buy Teddy Grahams tomorrow night.,Create Reminder.
2513,Set up reminder to look up local museums this week.,Create Reminder.
2514,remind me to take a walk at 1:30pm on 22nd  August,Create Reminder.
2515,"Remind me to water Lonnie's plants on Saturday, August 4.",Create Reminder.
2516,"Henry asked me not to forget I'm taking him to his soccer practice Saturday morning at 10am. So, add this to my reminder list.",Create Reminder.
2517,Set a reminder to pack for vacation next Tuesday at 5 PM.,Create Reminder.
2518,are any of my reminders for this week before 10 am?,Get Reminder.
2519,Remind me to buy cereal with my coupons before they expire on Saturday.,Create Reminder.
2520,Remind David we only have 5 dog bones and need to order some.,Create Reminder.
2521,Remind me to pay my internet bill the 25th of every month.,Create Reminder.
2522,Remind me to bake a casserole to take to Margie on Saturday.,Create Reminder.
2523,Set a reminder to put the garbage cans out every Thursday at 8 pm.,Create Reminder.
2524,Remind me to tell heidi we are cancelling our dinner Saturday at 7pm.,Create Reminder.
2525,Remind me to order that book tomorrow before 11am,Create Reminder.
2526,Delete my craft class reminder on this Saturday.,Delete Reminder.
2527,Remind me to give my dog bath this weekend.,Create Reminder.
2528,Remind me to get the dog's food together every night.,Create Reminder.
2529,What reminders do I have for Tuesday?,Get Reminder.
2530,Remind me to check the pool skimmer at noon for debris tomorrow.,Create Reminder.
2531,what reminders do i have for today,Get Reminder.
2532,remind steve how much the team appreciates him,Create Reminder.
2533,Set a reminder to buy mom's gift tonight,Create Reminder.
2534,Set a reminder for 6 PM every Sunday to make the kids lunch for the next day.,Create Reminder.
2535,Can you remind me to fill out new tax forms on August 15th?,Create Reminder.
2536,What are my reminders for next Sunday?,Get Reminder.
2537,I want you to set up a daily reminder to remind me to practice my music lessons.,Create Reminder.
2538,Remind me to pay Roger's credit card bill,Create Reminder.
2539,Remind me to pick prescriptions up at 3 pm today.,Create Reminder.
2540,remind the team that the meeting is 11 am,Create Reminder.
2541,Remind me to take the garbage out on Wednesdays.,Create Reminder.
2542,Remind me that I am watching Amber's kids this weekend.,Create Reminder.
2543,Set a reminder to turn windows updates off on the laptops for the upcoming test.,Create Reminder.
2544,Can you remind me that I have a dinner meeting with John next Tuesday at 7 pm.,Create Reminder.
2545,what reminders did i set for tomorrow,Get Reminder.
2546,remind me to tell greg about the movie tonight,Create Reminder.
2547,Remind me to make our airline reservations on Monday.,Create Reminder.
2548,Can you remind me about my interview on Thursday at 11 am?,Create Reminder.
2549,cancel Lucy's recital reminder.,Delete Reminder.
2550,Remind me to put in for vacation time on Monday at 9:00 am.,Create Reminder.
2551,Remind me to text mom the address to the party tonight.,Create Reminder.
2552,Remind me to check the schedule of events for the fair.,Create Reminder.
2553,Set weekly reminders to take the trash out every Sunday and Wednesday night.,Create Reminder.
2554,Send an email reminder to Tim to pick up dog food tomorrow after work.,Create Reminder.
2555,Remind me to set up my dermatology appointment on Monday.,Create Reminder.
2556,Remind me to visit Mercy tomorrow.,Create Reminder.
2557,Remind the group that bike party is the 1st Friday of every month,Create Reminder.
2558,Remind Mom to leave at 10; alert them 20 minutes before.,Create Reminder.
2559,Delete a reminder to buy Apple juice today,Delete Reminder.
2560,What reminders do I have for next Saturday?,Get Reminder.
2561,Set a reminder for my 6-months dental check up for Jan 30th at 4 pm,Create Reminder.
2562,Remove the check mail alert.,Delete Reminder.
2563,Delete reminder for work schedule after Friday.,Delete Reminder.
2564,remind me to take my rain jacket to the game tonight,Create Reminder.
2565,Remind me to pay my electric bill online by 5 pm tomorrow.,Create Reminder.
2566,Please create a reminder for every evening at 8pm for the next 12 weeks to update my class logbook.,Create Reminder.
2567,Please set a reminder for Jude to feed the puppies at 7 am and 7 pm.,Create Reminder.
2568,Set up a reminder for 6pm tomorrow to check my email regarding school.,Create Reminder.
2569,Remind me to ground coffee before bed later tonight,Create Reminder.
2570,Remind me to ask Duane to borrow his tools to assemble my new scooter.,Create Reminder.
2571,Set up a reminder to make a vet appointment for Jake on Tuesday,Create Reminder.
2572,Remind me to file my taxes on Wednesday.,Create Reminder.
2573,Remind me to take my medicine every day at 11 PM.,Create Reminder.
2574,WHEN IS THERE A REMINDER FOR ALICE'S DANCE CLASS?,Get Reminder.
2575,Set up a reminder for me to change the oil in my car by the end of the week,Create Reminder.
2576,set up a reminder for my book club meeting,Create Reminder.
2577,Remind the scouts to bring their hiking gear and 6 hiking essentials to our hike on Saturday.,Create Reminder.
2578,What is on my reminder list for this weekend?,Get Reminder.
2579,What reminders do I have for his Saturday?,Get Reminder.
2580,remind me to change the time for daylight savings,Create Reminder.
2581,Set a reminder to get the tires checked on August 1st,Create Reminder.
2582,are there any reminders for tomorrow,Get Reminder.
2583,Set a reminder for me to meet Kristofer September 13th at 1 pm.,Create Reminder.
2584,Remind Spencer he has to leave at noon.,Create Reminder.
2585,Remind me to finish my taxes and mail them out by Saturday.,Create Reminder.
2586,Set a reminder for running the Pembroke Pines loop on Sunday at 7am.,Create Reminder.
2587,Set up a weekly reminder for the bug guy to come spray every Tuesday at 11 a.m.,Create Reminder.
2588,What reminders do I have for the week,Get Reminder.
2589,Set up alert to send Fred congratulations on Friday at 4 pm.,Create Reminder.
2590,Remind me of my class assignments 30 minutes before they are due daily.,Create Reminder.
2591,Remind me to boil eggs every Sunday,Create Reminder.
2592,Remind me to ask my CPA about the corporate tax return.,Create Reminder.
2593,Delete my reminder to clean dishes,Delete Reminder.
2594,Set up a reminder for my brother to contact the realtor tomorrow at 11am.,Create Reminder.
2595,daily reminder to be healthy and eat healthy.,Create Reminder.
2596,can you remind me the day before my dr appointment with sansonetti,Create Reminder.
2597,Delete Saturday morning reminder.,Delete Reminder.
2598,Do I have any reminders for Saturday evening?,Get Reminder.
2599,Delete the reminder about waking me up tomorrow at 6 am,Delete Reminder.
2600,"Remind me tonight to confirm tennis with Jill, Rocky, and Ron on Thursday",Create Reminder.
2601,delete the reminder about bringing a dish to potluck.,Delete Reminder.
2602,Remind me that my brother is coming to visit on August 6th.,Create Reminder.
2603,I have library books due tomorrow by 5:00 pm; can you alert me 30 minutes before?,Create Reminder.
2604,I need a reminder to meet Janet for our workout session this Friday.,Create Reminder.
2605,Set up an alert to remind me to clip the dog's toenails every month.,Create Reminder.
2606,"Remind Dixie to take her Trombone Monday thru Friday at 6:45 am, set alert for 5 minutes before.",Create Reminder.
2607,Remove the reminder to pick up my mom.,Delete Reminder.
2608,Remind me to message Tony with my order at 11:00 am.,Create Reminder.
2609,Reminder to take a dish for pot luck on Wednesday,Create Reminder.
2610,What reminders do I have next week with Frank?,Get Reminder.
2611,Setup a reminder to email job status every Tuesday evening.,Create Reminder.
2612,Remind me to invite everyone to my birthday dinner that is on the 18th at 4 PM,Create Reminder.
2613,Remind me to get gas for the car tonight.,Create Reminder.
2614,"Remind me to make sarcastic comments on my best friends facebook, instagram, and snapchat",Create Reminder.
2615,Alert me 30 minutes before 2 pm on Friday for doctors appointment.,Create Reminder.
2616,Cancel my reminder to buy batteries I found a whole box.,Delete Reminder.
2617,Remind me to read everyday at 8pm,Create Reminder.
2618,Please update the soup reminder to before Tuesday.,Update Reminder Date Time.
2619,"Remind me to meet with the family reunion committee in 30 days,",Create Reminder.
2620,Remind me to check on gift cards from go365.,Create Reminder.
2621,remind me about my southwest flight at 7pm,Create Reminder.
2622,Set up a monthly reminder for the 15th of each month to check Joe's Facebook page for which concert he's recorded for us to watch.,Create Reminder.
2623,Remind me to study A&P for my test on Tuesday next week.,Create Reminder.
2624,Set up a reminder for Toby's vet appointment on August 25th at 12:30 PM.,Create Reminder.
2625,change reminder for doctors appt to 930am.,Update Reminder Date Time.
2626,Set reminder for Andrew to walk dog daily at 6am,Create Reminder.
2627,"reminder for doctor apointment, 15 minute prior",Create Reminder.
2628,remind me about oil changing service next week,Create Reminder.
2629,Remind me to pack hubby's lunch bag for work tomorrow.,Create Reminder.
2630,"I can't be late for church on Sunday, will you remind me 2 hours before.",Create Reminder.
2631,Set reminder to pick cake up on Thursday at 2 P.M.,Create Reminder.
2632,"Please remove the reminder tonight, I no longer need to give Sue a ride",Delete Reminder.
2633,Set up a reminder for August 20 to have lunch with Nicole at 12 PM.,Create Reminder.
2634,Remind me August 21st to submit paperwork for for kids transfer.,Create Reminder.
2635,Could you please delete my reminder for soccer tomorrow since its canceled?,Delete Reminder.
2636,Remind me to cancel my Blue Apron subscription tomorrow.,Create Reminder.
2637,remind me I need to visit the new art exhibit saturday,Create Reminder.
2638,change the reminder about dinner today to 6pm instead of 5pm,Update Reminder Date Time.
2639,What reminders do I have for Monday of next week?,Get Reminder.
2640,delete my reminder to go grocery shopping tomorrow,Delete Reminder.
2641,Remind me to email Marie Sunday morning.,Create Reminder.
2642,Remind my brother to buy that gift for mom's birthday.,Create Reminder.
2643,remind me to do pet sitting for Anita next week,Create Reminder.
2644,Set up a reminder for water aerobics class every Friday at 7pm.,Create Reminder.
2645,Set up a recurring reminder on Fridays about the recycling,Create Reminder.
2646,Remind me to cancel meeting with Sarah today.,Create Reminder.
2647,What reminders do I have for today,Get Reminder.
2648,Remind Benny to turn off the pool pump 10pm,Create Reminder.
